/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', ('green', 'left', 'forward', None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.99
 -- left : 0.00

('right', ('green', 'right', None, 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.90
 -- left : 0.00

('forward', ('green', 'left', None, 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.94
 -- left : 0.00

('left', ('green', None, 'right', 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.99
 -- left : 0.00

('left', ('green', 'left', 'forward', 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.94
 -- left : 0.00

('left', ('red', 'forward', 'forward', None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.01
 -- left : 0.00

('right', ('red', 'left', None, 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.75
 -- left : 0.00

('left', ('green', 'right', None, 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.60
 -- left : 0.00

('left', ('green', 'left', None, None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.48
 -- left : 0.00

('left', ('red', 'left', 'forward', None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.98
 -- left : 0.00

('forward', ('green', 'left', 'forward', None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.48
 -- left : 0.00

('forward', ('red', None, 'left', None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.13
 -- left : 0.00

('left', ('red', 'left', None, 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.01
 -- left : 0.00

('left', ('green', 'forward', None, 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : -4.03
 -- left : 0.00

('left', ('red', None, 'left', 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.50
 -- left : 0.00

('forward', ('green', 'forward', None, 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.01
 -- left : 0.00

('right', ('green', 'right', 'forward', 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.47
 -- left : 0.00

('left', ('red', 'right', 'right', 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.87
 -- left : 0.00

('left', ('green', 'right', None, 'left'))
 -- forward : 1.13
 -- right : 0.00
 -- None : -3.90
 -- left : 0.00

('forward', ('green', None, 'forward', 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.77
 -- left : 0.00

('right', ('green', None, None, 'right'))
 -- forward : 0.29
 -- right : 0.00
 -- None : -3.42
 -- left : 0.00

('right', ('red', 'forward', None, 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.71
 -- left : 0.00

('forward', ('red', 'right', None, 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.54
 -- left : 0.00

('left', ('red', None, 'right', None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.01
 -- left : 0.00

('left', ('red', 'forward', None, None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.05
 -- left : 0.00

('forward', ('red', 'right', None, 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.58
 -- left : 0.00

('right', ('red', None, 'left', 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.97
 -- left : 0.00

('forward', ('green', None, 'forward', 'left'))
 -- forward : 1.30
 -- right : 0.00
 -- None : -3.56
 -- left : 0.00

('right', ('red', None, 'forward', 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.78
 -- left : 0.00

('right', ('green', None, 'left', 'right'))
 -- forward : 1.20
 -- right : 0.00
 -- None : -3.19
 -- left : 0.00

('left', ('red', None, None, 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.91
 -- left : 0.00

('right', ('green', None, 'left', 'left'))
 -- forward : 0.00
 -- right : 1.59
 -- None : -3.03
 -- left : 0.00

('left', ('red', 'left', None, 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.01
 -- left : 0.00

('forward', ('red', 'forward', 'forward', 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.71
 -- left : 0.00

('left', ('green', 'forward', None, None))
 -- forward : 0.96
 -- right : 0.00
 -- None : -3.00
 -- left : -13.83

('forward', ('red', None, 'left', 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.20
 -- left : 0.00

('right', ('red', None, None, 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.31
 -- left : 0.00

('left', ('red', 'forward', None, 'left'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.71
 -- left : 0.00

('forward', ('red', 'forward', 'right', 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.07
 -- left : 0.00

('forward', ('green', 'left', None, 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.68
 -- left : 0.00

('left', ('red', 'left', 'forward', 'forward'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.41
 -- left : 0.00

('right', ('green', None, 'forward', None))
 -- forward : 1.69
 -- right : 0.00
 -- None : -3.78
 -- left : 0.00

('left', ('red', 'left', None, 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.82
 -- left : 0.00

('right', ('red', 'right', 'left', 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.81
 -- left : 0.00

('left', ('red', None, 'left', 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.71
 -- left : 0.00

('right', ('red', 'right', 'forward', None))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.16
 -- left : 0.00

('left', ('red', 'left', 'left', 'right'))
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.69
 -- left : 0.00

('right', ('green', None, None, 'left'))
 -- forward : 0.00
 -- right : 0.78
